"","Estimate","Std. Error","t value"
"Intercept",114.988031854851,5.71406831411419,20.123671180273
"categorical",44.9520740279105,1.32364144880476,33.9609144670574
"Intercept",114.988031854851,2.7540960099802,41.7516424402639
"continuous",44.8863029998079,1.04325756657195,43.0251401361029
"Intercept",114.988031854851,2.83741028320681,40.5256978644953
"Distance",44.4344219934344,1.07179300543519,41.4580257270779
