"Surface","Fixed.Effects","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"continuous","cd",-1273.17032243333,4,2554.34064486665,2556.34064486665,0.87440210354688,0.891627597167884,-1273.17032243333
"Distance","cd",-1282.69822715768,2,2569.39645431536,2569.94190886082,0.864966126790815,0.883414313489819,-1282.69822715768
"categorical","cd",-1336.55168655581,4,2684.8912892451,2686.8912892451,0.78864991110343,0.861890323245235,-1338.44564462255
"Null","1",-1569.2214205514,1,3140.4428411028,3140.61675414627,0,0.109069539402671,-1569.2214205514
