"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"ffp",100.62202796225,4,-193.2440559245,-187.529770210214,0.70031495047358,0.716929051577401,100.62202796225
"err27",98.5111689368064,4,-189.022337873613,-183.308052159327,0.692620727598409,0.745853838072707,98.5111689368064
"Distance",89.9186326929458,2,-175.837265385892,-174.503932052558,0.598890807061107,0.656473704019349,89.9186326929458
"Null",64.3940177148951,1,-126.78803542979,-126.38803542979,0,0.179984415614171,64.3940177148951
