"","Estimate","Std. Error","t value"
"Intercept",0.388676041972555,0.0162168938723877,23.9673543547294
"Distance",0.0730796198966393,0.00867789141729111,8.42135679999691
"Intercept",0.388676041972556,0.0139274826828698,27.9071280017178
"err27",0.0771994112066498,0.0078354272319135,9.85261031998594
"Intercept",0.388676041972556,0.0142268352980121,27.319922795962
"ffp",0.0756128753547149,0.00788705004256658,9.58696533515454
