"Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","Equation","shape","max"
"ffp",100.62202796225,4,-193.2440559245,-187.529770210214,0.70031495047358,0.716929051577401,100.62202796225,"Inverse Monomolecular",7.18914359528571,138.806924642947
"err27",98.5111689368064,4,-189.022337873613,-183.308052159327,0.692620727598409,0.745853838072707,98.5111689368064,"Inverse Monomolecular",13.1321866316721,414.546921268185
