0,12817.6748659113,9480.66920930979,11865.9330999854,16525.1646981999,15126.3378030715,14214.5857088556,2983.52317614585,23160.6405138729,6297.12546532794,5352.25165607363,12753.2688989478
12817.6748659113,0,3856.08658184472,4976.64389233393,4165.2305713239,2397.62766823685,2040.20517962007,12445.2463522409,11492.9244639492,16446.3357922856,14990.712477495,940.097496010526
9480.66920930979,3856.08658184472,0,6849.95667043269,8001.20485436507,6233.60195127802,5891.83093895178,10276.0262491355,15101.7776254268,14924.9869454527,11338.8613151289,3613.40152011675
11865.9330999854,4976.64389233393,6849.95667043269,0,6263.43037831675,5441.12341067885,4476.74508165366,10122.9047602909,12291.9345922641,13674.8751788191,16192.6197914412,5902.07955764223
16525.1646981999,4165.2305713239,8001.20485436507,6263.43037831675,0,1779.94031412065,2333.76667922439,15840.5101610726,7522.73115040379,19841.5996011173,18994.3986819126,4429.21963289515
15126.3378030715,2397.62766823685,6233.60195127802,5441.12341067885,1779.94031412065,0,974.275364936071,14466.7781410854,9170.40517984863,18467.8675811301,17226.255047947,2661.07599892959
14214.5857088556,2040.20517962007,5891.83093895178,4476.74508165366,2333.76667922439,974.275364936071,0,13536.0067123079,9818.73996306015,17537.0961523526,16896.2614041346,2440.41694942683
2983.52317614585,12445.2463522409,10276.0262491355,10122.9047602909,15840.5101610726,14466.7781410854,13536.0067123079,0,21316.3105038146,4827.50811140286,8335.13578391524,13109.0093058336
23160.6405138729,11492.9244639492,15101.7776254268,12291.9345922641,7522.73115040379,9170.40517984863,9818.73996306015,21316.3105038146,0,24206.6804406382,23572.2506989361,11573.7223739837
6297.12546532794,16446.3357922856,14924.9869454527,13674.8751788191,19841.5996011173,18467.8675811301,17537.0961523526,4827.50811140286,24206.6804406382,0,10468.1918679041,17110.0987458783
5352.25165607363,14990.712477495,11338.8613151289,16192.6197914412,18994.3986819126,17226.255047947,16896.2614041346,8335.13578391524,23572.2506989361,10468.1918679041,0,14581.393354642
12753.2688989478,940.097496010526,3613.40152011675,5902.07955764223,4429.21963289515,2661.07599892959,2440.41694942683,13109.0093058336,11573.7223739837,17110.0987458783,14581.393354642,0
