"Surface","Fixed.Effects","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"Null","geo + cti_diff + hli_diff",89.6387831747448,4,-171.27756634949,-165.563280635204,0.596196749479036,0.652789269278452,89.6387831747448
"Distance","geo + cti_diff + hli_diff + cd",89.9186326929458,5,-169.837265385892,-159.837265385892,0.598890807061107,0.656473704019349,89.9186326929458
"ffp","geo + cti_diff + hli_diff + cd",100.62202796225,7,-187.2440559245,-159.2440559245,0.70031495047358,0.716929051577401,100.62202796225
"err27","geo + cti_diff + hli_diff + cd",98.5111689368064,7,-183.022337873613,-155.022337873613,0.692620727598409,0.745853838072707,98.5111689368064
