"Surface","Fixed.Effects","obj.func_LL","k","AIC","AICc","R2m","R2c","LL"
"continuous","cd",-1273.17031990248,4,2554.34063980495,2556.34063980495,0.874402281452969,0.891627611206171,-1273.17031990248
"Distance","cd",-1282.69822715768,2,2569.39645431536,2569.94190886082,0.864966126790815,0.883414313489819,-1282.69822715768
"categorical","cd",-1337.14254791722,4,2684.88903154273,2686.88903154273,0.788660949427727,0.861888504727043,-1338.44451577137
"Null","1",-1569.2214205514,1,3140.4428411028,3140.61675414627,0,0.109069539402671,-1569.2214205514
