"","Estimate","Std. Error","t value"
"Intercept",114.988031854852,0.779580986698701,147.499790036944
"categorical.continuous",45.6438479553682,0.780883545646634,58.45154275542
"Intercept",114.98803185485,5.71357271562436,20.1254167187552
"categorical",44.9522534244793,1.32364895273062,33.9608574703626
"Intercept",114.988031854851,2.75408562432484,41.7517998856845
"continuous",44.8863243401323,1.04325812692953,43.0251374817847
"Intercept",114.988031854851,2.83741028320681,40.5256978644953
"Distance",44.4344219934344,1.07179300543519,41.4580257270779
